iter	RMSE
0	0.5352134819
1	0.5342395388
2	0.5330670387
3	0.5319683572
4	0.5310559744
5	0.5299546079
6	0.5290881448
7	0.528036877
8	0.5270025905
9	0.5261935048
10	0.5254047041
11	0.5244323904
12	0.5234832177
13	0.5227465854
14	0.5220257239
15	0.5211362332
16	0.5204488552
17	0.5195964708
18	0.5187609272
19	0.5180130046
20	0.5173898223
21	0.5166072294
22	0.5160129744
23	0.5154158482
24	0.5148486835
25	0.514125067
26	0.5134199907
27	0.5127316253
28	0.5120466626
29	0.5113873001
30	0.5108960549
31	0.5092504851
32	0.5086367532
33	0.5081822558
34	0.5077344321
35	0.5059675013
36	0.5054128847
37	0.5048937949
38	0.5044868735
39	0.503965588
40	0.5034476606
41	0.5030702663
42	0.5025776401
43	0.5021018629
44	0.5005211857
45	0.500075007
46	0.49974775
47	0.4994273822
48	0.4989975305
49	0.4976039645
50	0.4973060631
51	0.4959745583
52	0.4956957484
53	0.495412165
54	0.4950484061
55	0.4938520671
56	0.4927663586
57	0.4924332344
58	0.4913585071
59	0.4911290759
60	0.4909008868
61	0.4899227671
62	0.4892421783
63	0.4890352279
64	0.4888330842
65	0.4881527407
66	0.4879609856
67	0.4877707855
68	0.4875880517
69	0.4873360449
70	0.4870902375
71	0.4869159638
72	0.486687884
73	0.4864594357
74	0.4857729561
75	0.4856213841
76	0.4849174713
77	0.4847720008
78	0.4843070196
79	0.4841152154
80	0.4839483839
81	0.4834294245
82	0.482776678
83	0.4826074272
84	0.4824889805
85	0.482340274
86	0.4822246023
87	0.481859422
88	0.4817112901
89	0.4816085284
90	0.4814648069
91	0.4813230277
92	0.4812275062
93	0.481092182
94	0.4809810984
95	0.4806175746
96	0.4801559457
97	0.4800728179
98	0.4797162862
99	0.4792429761
100	0.4788692132
101	0.4787953798
102	0.478721895
103	0.478651682
104	0.4782551907
105	0.4781870287
106	0.4778338611
107	0.4775540397
108	0.4774901256
109	0.4774303759
110	0.4773696535
111	0.4771054186
112	0.4770502959
113	0.4769940339
114	0.4769149684
115	0.4768348984
116	0.4761282346
117	0.4758751524
118	0.4758278923
119	0.475646425
120	0.4753118195
121	0.4749754622
122	0.474938857
123	0.4748100077
124	0.4747693637
125	0.4745475372
126	0.4744887312
127	0.4742176774
128	0.4739869481
129	0.4738515018
130	0.4736779148
131	0.4736330418
132	0.4726328164
133	0.4723646141
134	0.4723330484
135	0.4722960686
136	0.4722674964
137	0.4722383705
138	0.472210704
139	0.4717368476
140	0.4708076624
141	0.4706095653
142	0.4704509077
143	0.4703418988
144	0.4701478535
145	0.4699751953
146	0.4698426391
147	0.4698208025
148	0.4697508224
149	0.46951773
150	0.4694236953
151	0.469393131
152	0.4692050005
153	0.4690816721
154	0.4690627917
155	0.4688900367
156	0.4688577309
157	0.468757263
158	0.4684680357
159	0.4683874335
160	0.4683058176
161	0.4682117547
162	0.4680866164
163	0.4679289798
164	0.4678970825
165	0.4678310558
166	0.4676918021
167	0.4676661297
168	0.4676327991
169	0.4675039377
170	0.4674472978
171	0.46738476
172	0.4673056929
173	0.4672621284
174	0.4672169572
175	0.4671576219
176	0.4671442782
177	0.4670634246
178	0.4670520267
179	0.4669389855
180	0.4668998037
181	0.4668882026
182	0.4659475605
183	0.4659122018
184	0.4647278609
185	0.4647157118
186	0.4645018123
187	0.4644225495
188	0.4643671318
189	0.4643194071
190	0.464289623
191	0.4642396703
192	0.4641923304
193	0.4640802708
194	0.4640612945
195	0.464048397
196	0.4639401018
197	0.4639105035
198	0.4638560793
199	0.4637886764
200	0.4637721888
201	0.4636886145
202	0.4628412909
203	0.4628247809
204	0.4628029607
205	0.4627937541
206	0.4627031108
207	0.462620599
208	0.4626113785
209	0.4626014346
210	0.4625820379
211	0.4625113654
212	0.4624865209
213	0.4624655668
214	0.4623911436
215	0.4622088496
216	0.4621964136
217	0.4621898323
218	0.462182937
219	0.4620448898
220	0.4619302885
221	0.4619185636
222	0.4612930191
223	0.4610719013
224	0.4610268709
225	0.4610207938
226	0.4610141411
227	0.46100268
228	0.4609299394
229	0.4609012996
230	0.4608351218
231	0.4607326665
232	0.4606863649
233	0.4602549748
234	0.4602486238
235	0.4601863484
236	0.4601763885
237	0.4601625434
238	0.4600923674
239	0.4600828774
240	0.4600166814
241	0.4589648187
242	0.4589184096
243	0.4589086908
244	0.4588409155
245	0.4588208217
246	0.4587711025
247	0.4587073884
248	0.4586945667
249	0.4586893074
250	0.4586849069
251	0.4585981374
252	0.4585893675
253	0.4585829299
254	0.4585527123
255	0.4585456791
256	0.4584981913
257	0.4584550949
258	0.4584490367
259	0.4583526163
260	0.4583391661
261	0.4583305144
262	0.4583271189
263	0.4582859534
264	0.4581996516
265	0.4581778921
266	0.4581650982
267	0.458160435
268	0.457035634
269	0.4570297405
270	0.4567590928
271	0.4567516579
272	0.4567366358
273	0.4567140766
274	0.4567079225
275	0.4566535191
276	0.4566469933
277	0.4565726718
278	0.4565670934
279	0.4565185929
280	0.4564233547
281	0.4563245791
282	0.4562096595
283	0.4561820322
284	0.4554724554
285	0.4554528061
286	0.4554433861
287	0.4554234017
288	0.4553733396
289	0.4553091539
290	0.4538716506
291	0.452926923
292	0.4529211378
293	0.4529010354
294	0.452895843
