iter	Passed	Remaining
0	62	43879
1	105	36756
2	183	42618
3	242	42212
4	317	44102
5	400	46377
6	460	45566
7	525	45484
8	584	44872
9	661	45677
10	719	45086
11	779	44701
12	869	45975
13	947	46413
14	1031	47103
15	1116	47745
16	1192	47925
17	1257	47645
18	1317	47219
19	1383	47051
20	1440	46591
21	1524	46967
22	1593	46915
23	1665	46914
24	1747	47174
25	1824	47293
26	1888	47070
27	1953	46879
28	2035	47094
29	2113	47204
30	2198	47442
31	2280	47614
32	2353	47573
33	2411	47234
34	2484	47208
35	2566	47330
36	2654	47569
37	2745	47835
38	2823	47848
39	2905	47947
40	2987	48014
41	3053	47845
42	3125	47755
43	3227	48114
44	3309	48177
45	3384	48125
46	3468	48189
47	3571	48518
48	3675	48826
49	3729	48486
50	3785	48172
51	3855	48048
52	3903	47649
53	3977	47578
54	4044	47431
55	4114	47316
56	4191	47287
57	4269	47260
58	4338	47136
59	4390	46830
60	4452	46644
61	4503	46342
62	4559	46099
63	4624	45951
64	4693	45851
65	4776	45878
66	4842	45752
67	4913	45665
68	4979	45541
69	5056	45507
70	5104	45220
71	5168	45081
72	5244	45048
73	5317	44979
74	5384	44874
75	5482	45013
76	5555	44948
77	5640	44981
78	5713	44909
79	5793	44896
80	5878	44923
81	5967	44972
82	6053	44999
83	6133	44982
84	6196	44834
85	6276	44814
86	6349	44739
87	6437	44771
88	6530	44832
89	6596	44711
90	6673	44659
91	6746	44583
92	6819	44513
93	6899	44480
94	6986	44491
95	7073	44504
96	7152	44464
97	7211	44301
98	7290	44258
99	7377	44264
100	7457	44229
101	7519	44085
102	7596	44029
103	7648	43829
104	7724	43774
105	7819	43820
106	7944	44030
107	8025	43994
108	8100	43920
109	8155	43741
110	8233	43688
111	8320	43680
112	8380	43532
113	8458	43479
114	8586	43677
115	8653	43564
116	8746	43584
117	8825	43526
118	8917	43540
119	8997	43485
120	9078	43441
121	9162	43407
122	9216	43234
123	9311	43255
124	9395	43217
125	9483	43202
126	9573	43191
127	9672	43224
128	9758	43194
129	9838	43137
130	9917	43078
131	10005	43054
132	10085	42994
133	10169	42952
134	10253	42911
135	10336	42866
136	10427	42853
137	10507	42790
138	10575	42683
139	10664	42659
140	10759	42656
141	10834	42575
142	10917	42525
143	11007	42500
144	11099	42482
145	11179	42419
146	11262	42367
147	11318	42216
148	11400	42158
149	11484	42110
150	11569	42062
151	11654	42019
152	11734	41951
153	11811	41878
154	11890	41809
155	11978	41770
156	12038	41637
157	12096	41494
158	12176	41432
159	12260	41379
160	12351	41350
161	12432	41288
162	12518	41240
163	12602	41188
164	12689	41146
165	12776	41099
166	12856	41034
167	12922	40922
168	12999	40845
169	13089	40809
170	13184	40786
171	13262	40713
172	13356	40687
173	13420	40569
174	13480	40442
175	13547	40334
176	13636	40293
177	13714	40218
178	13776	40097
179	13853	40020
180	13938	39967
181	14022	39908
182	14117	39883
183	14205	39835
184	14282	39760
185	14370	39712
186	14437	39607
187	14504	39502
188	14602	39481
189	14679	39402
190	14757	39328
191	14837	39256
192	14904	39153
193	14996	39115
194	15055	38990
195	15136	38921
196	15219	38860
197	15294	38776
198	15374	38706
199	15455	38638
200	15536	38570
201	15618	38505
202	15700	38440
203	15775	38356
204	15854	38281
205	15925	38190
206	16002	38111
207	16081	38039
208	16153	37948
209	16234	37881
210	16299	37773
211	16379	37703
212	16465	37645
213	16542	37569
214	16631	37517
215	16713	37450
216	16789	37370
217	16865	37289
218	16938	37202
219	17023	37142
220	17108	37081
221	17175	36982
222	17247	36893
223	17309	36781
224	17388	36708
225	17450	36600
226	17524	36515
227	17606	36447
228	17690	36385
229	17771	36316
230	17854	36249
231	17957	36224
232	18038	36154
233	18117	36080
234	18190	35993
235	18271	35924
236	18350	35849
237	18417	35751
238	18494	35674
239	18579	35611
240	18659	35538
241	18735	35457
242	18820	35394
243	18899	35319
244	18979	35248
245	19058	35172
246	19144	35111
247	19233	35054
248	19300	34957
249	19375	34875
250	19455	34802
251	19536	34731
252	19613	34653
253	19690	34574
254	19773	34506
255	19852	34431
256	19934	34362
257	20020	34298
258	20091	34210
259	20174	34141
260	20247	34056
261	20322	33974
262	20408	33911
263	20488	33836
264	20573	33771
265	20646	33686
266	20716	33595
267	20790	33512
268	20860	33424
269	20937	33345
270	21016	33269
271	21082	33173
272	21163	33101
273	21242	33026
274	21317	32945
275	21399	32873
276	21462	32775
277	21540	32698
278	21607	32604
279	21693	32540
280	21776	32470
281	21859	32401
282	21937	32325
283	22015	32248
284	22095	32173
285	22172	32095
286	22247	32015
287	22330	31944
288	22411	31872
289	22498	31808
290	22582	31739
291	22664	31668
292	22736	31583
293	22818	31511
294	22900	31439
295	22981	31366
296	23053	31281
297	23125	31196
298	23199	31113
299	23273	31030
300	23342	30942
301	23427	30874
302	23492	30780
303	23572	30706
304	23640	30616
305	23725	30548
306	23797	30464
307	23871	30382
308	23957	30315
309	24034	30236
310	24119	30168
311	24184	30075
312	24254	29988
313	24323	29900
314	24380	29798
315	24450	29712
316	24535	29643
317	24616	29570
318	24697	29497
319	24770	29415
320	24838	29325
321	24916	29250
322	25002	29182
323	25069	29092
324	25131	28997
325	25189	28898
326	25266	28821
327	25338	28737
328	25398	28641
329	25478	28566
330	25560	28494
331	25631	28410
332	25693	28316
333	25772	28241
334	25833	28146
335	25894	28052
336	25963	27966
337	26036	27885
338	26112	27807
339	26176	27715
340	26252	27637
341	26325	27557
342	26396	27473
343	26476	27399
344	26561	27331
345	26617	27233
346	26706	27168
347	26791	27099
348	26861	27015
